event_time,shopper_id,seller_id,product_id,event_type,quantity,price,is_promo,device_type,region
2024-02-28 04:50:00,shop_103,seller_1,prod_72,add_to_cart,1,81.65,1,tablet,North
2024-01-11 03:12:00,shop_180,seller_1,prod_33,view,1,98.61,0,mobile,West
2024-01-03 06:38:00,shop_93,seller_1,prod_48,add_to_cart,1,101.19,0,desktop,East
2024-03-08 11:56:00,shop_15,seller_8,prod_67,view,1,84.81,0,mobile,South
2024-01-26 00:48:00,shop_107,seller_8,prod_2,view,1,91.54,0,tablet,South
2024-01-23 06:58:00,shop_72,seller_7,prod_38,view,1,110.83,0,tablet,West
2024-01-21 07:36:00,shop_189,seller_6,prod_40,view,1,123.87,0,desktop,West
2024-01-13 16:49:00,shop_21,seller_4,prod_56,view,1,98.61,0,mobile,East
2024-03-08 00:50:00,shop_103,seller_1,prod_88,purchase,1,109.34,0,tablet,East
2024-01-10 07:54:00,shop_122,seller_9,prod_21,view,1,88.3,0,mobile,South
2024-03-02 14:16:00,shop_75,seller_1,prod_82,view,1,89.59,0,tablet,North
2024-03-08 10:00:00,shop_88,seller_4,prod_35,view,1,82.35,0,desktop,South
2024-03-22 04:59:00,shop_117,seller_3,prod_75,purchase,2,107.24,0,mobile,South
2024-02-19 15:22:00,shop_100,seller_7,prod_75,view,1,84.43,0,mobile,North
2024-01-08 21:55:00,shop_104,seller_5,prod_67,view,3,89.87,0,desktop,South
2024-02-23 17:57:00,shop_152,seller_5,prod_60,view,3,93.79,0,desktop,East
2024-02-08 09:42:00,shop_131,seller_4,prod_23,add_to_cart,3,71.71,0,desktop,South
2024-01-03 21:25:00,shop_150,seller_1,prod_65,view,1,83.88,0,tablet,North
2024-01-03 17:05:00,shop_53,seller_5,prod_63,view,1,104.54,0,tablet,East
2024-01-09 12:40:00,shop_2,seller_4,prod_23,add_to_cart,2,87.79,0,mobile,East
2024-01-20 21:37:00,shop_88,seller_8,prod_86,view,1,138.04,1,tablet,West
2024-01-22 04:15:00,shop_158,seller_2,prod_42,purchase,1,118.78,0,desktop,East
2024-02-15 23:57:00,shop_38,seller_8,prod_94,view,2,120.65,0,mobile,West
2024-02-24 19:07:00,shop_130,seller_1,prod_64,view,1,75.49,1,tablet,West
2024-01-03 09:58:00,shop_192,seller_4,prod_66,view,2,86.18,0,mobile,East
2024-02-21 02:03:00,shop_188,seller_3,prod_81,add_to_cart,1,91.44,1,tablet,West
